respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
241,180104,1,S,Female,No,3,NaN,NaN,NaN,71,1,6,3
242,180104,19,S,Female,Yes,2,2,3,NaN,77,5,3,99
243,180104,18,U,Female,Yes,3,1,4,1,37,1,2,3
244,180104,27,R,Female,Yes,1,6,1,NaN,88,3,3,98
245,180104,29,S,Male,Yes,1,5,1,3,62,7,1,9
247,180104,29,U,Female,Yes,1,1,1,2,65,6,3,7
248,180104,19,S,Male,Yes,3,3,3,4,57,6,1,99
249,180104,1,S,Female,Yes,1,1,1,4,55,7,3,4
250,180104,1,R,Male,Yes,1,1,2,3,70,8,3,7
252,180104,27,S,Female,Yes,1,3,1,3,77,6,3,6
253,180104,19,R,Male,No,2,4,NaN,NaN,84,6,3,2
254,180104,47,R,Male,Yes,1,1,4,NaN,61,4,1,5
255,180104,22,S,Female,No,6,6,NaN,NaN,66,4,6,1
256,180104,48,S,Male,Yes,1,2,2,NaN,77,3,3,5
257,180104,5,R,Female,Yes,1,1,2,NaN,61,7,3,99
258,180104,36,U,Male,Yes,4,2,2,4,34,7,1,1
259,180104,36,S,Female,No,1,2,NaN,NaN,73,5,3,5
260,180104,33,R,Female,Yes,2,1,2,2,28,3,4,98
261,180104,24,S,Female,Yes,1,1,1,4,40,5,1,9
262,180104,36,S,Female,Yes,1,1,1,3,38,4,1,2
264,180104,12,S,Male,Yes,2,1,3,NaN,54,3,1,8
265,180104,34,S,Male,Yes,2,3,3,NaN,48,6,1,6
266,180104,34,S,Female,No,1,1,NaN,NaN,66,1,3,3
267,180104,36,U,Female,No,3,NaN,NaN,NaN,73,2,4,1
269,180104,48,R,Female,No,2,3,NaN,NaN,77,3,3,98
270,180104,37,S,Female,Yes,4,4,2,4,55,6,1,9
271,180104,13,S,Female,Yes,2,1,1,2,48,3,5,9
272,180104,12,S,Female,Yes,2,3,3,4,81,2,3,99
273,180104,51,S,Male,Yes,1,1,1,1,51,8,1,9
274,180104,42,U,Male,Yes,1,2,1,NaN,99,5,1,9
276,180104,37,S,Female,Yes,2,1,1,4,43,6,2,8
277,180104,47,S,Female,Yes,2,2,2,NaN,60,4,1,7
278,180104,25,S,Male,No,1,NaN,NaN,NaN,92,8,3,5
279,180104,27,U,Female,Yes,1,1,1,3,66,6,2,5
280,180104,30,R,Female,Yes,3,1,2,3,29,3,1,2
281,180104,8,U,Male,Yes,2,1,1,2,99,6,1,8
282,180104,15,S,Female,Yes,3,1,1,4,66,7,3,9
283,180104,15,R,Male,Yes,1,1,1,NaN,78,4,3,6
284,180104,35,U,Female,Yes,2,3,3,2,75,3,3,4
285,180104,35,R,Female,Yes,2,1,1,3,47,8,2,4
286,180104,35,U,Female,Yes,2,1,1,2,30,4,1,8
287,180104,6,S,Female,Yes,1,1,1,2,48,7,1,7
288,180104,6,S,Female,Yes,1,4,2,4,55,5,3,2
289,180104,41,S,Female,No,2,NaN,NaN,NaN,90,7,3,3
290,180105,36,S,Male,Yes,1,1,1,NaN,77,4,3,7
291,180105,12,U,Male,Yes,4,4,4,NaN,84,4,3,99
292,180105,13,R,Male,Yes,1,3,2,3,67,7,3,7
293,180105,37,S,Male,No,1,NaN,NaN,NaN,42,3,1,1
294,180105,26,S,Male,Yes,2,2,4,NaN,88,3,5,4
295,180105,37,S,Female,Yes,1,1,2,NaN,68,7,3,9
296,180105,21,R,Female,No,2,NaN,NaN,NaN,70,1,4,98
297,180105,18,S,Male,Yes,4,4,2,4,60,6,1,99
298,180105,13,R,Female,No,4,NaN,NaN,NaN,79,5,3,1
299,180105,36,U,Female,Yes,3,3,2,4,60,3,3,7
300,180105,39,S,Female,Yes,4,4,4,4,62,8,3,8
301,180105,37,U,Female,Yes,1,1,1,3,62,5,1,2
302,180105,39,U,Female,No,1,1,NaN,3,83,2,3,2
303,180105,12,S,Female,Yes,4,2,1,4,57,4,1,2
304,180105,42,R,Female,No,6,NaN,NaN,NaN,25,3,4,3
305,180105,12,U,Female,Yes,1,4,2,NaN,70,3,3,3
307,180105,36,S,Male,Yes,2,1,5,4,62,4,5,9
308,180105,42,R,Male,No,6,NaN,NaN,NaN,48,1,2,3
309,180110,12,U,Male,Yes,4,4,3,4,97,99,99,99
310,180105,54,R,Female,Yes,4,4,4,NaN,63,5,3,6
311,180105,11,U,Female,Yes,2,4,4,NaN,76,7,3,7
312,180105,13,S,Female,Yes,1,1,1,4,99,7,3,99
313,180105,37,U,Male,Yes,1,1,1,1,50,8,1,5
315,180105,12,S,Female,Yes,4,1,1,4,56,6,1,7
317,180105,34,U,Female,No,1,4,NaN,NaN,59,4,6,3
319,180105,25,U,Female,No,1,1,NaN,NaN,60,3,1,99
320,180105,37,R,Male,Yes,1,1,3,NaN,20,3,4,2
322,180105,36,S,Female,Yes,2,4,3,2,37,3,4,3
323,180105,45,S,Male,Yes,1,1,1,4,63,6,2,8
324,180105,34,S,Male,Yes,1,2,1,NaN,62,4,3,7
