respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
100513,180103,6,S,Male,Yes,4,2,2,3,18,4,1,5
100515,180103,53,S,Female,Yes,3,3,4,NaN,69,7,3,5
100517,180103,53,U,Female,Yes,4,1,1,3,29,7,1,6
100519,180103,6,S,Female,Yes,1,1,1,NaN,39,2,4,1
100521,180103,46,S,Male,Yes,1,1,1,3,38,3,1,6
100523,180103,53,U,Female,Yes,2,1,1,2,53,3,1,1
100524,180103,6,U,Female,Yes,1,1,1,1,40,1,4,1
100529,180103,53,S,Female,Yes,4,1,1,2,19,2,2,1
100533,180103,6,S,Male,Yes,4,2,1,2,21,4,2,99
100534,180103,6,S,Female,Yes,2,2,3,4,34,5,6,6
100535,180103,41, ,Female,Yes,6,1,1,NaN,99,5,1,3
100536,180103,6,U,Male,Yes,2,1,1,1,57,6,1,99
100538,180103,48,U,Female,Yes,1,1,1,1,26,3,4,2
100541,180103,48,U,Male,Yes,2,1,2,2,64,4,1,5
100542,180103,41,R,Male,Yes,4,3,2,3,23,4,1,4
100544,180103,6,S,Female,Yes,1,1,2,2,50,5,3,1
100545,180104,6,U,Male,Yes,4,1,1,NaN,42,7,7,4
100547,180104,6,U,Male,Yes,3,1,1,4,68,7,3,1
100548,180103,41,U,Female,Yes,2,2,1,3,34,3,1,8
100549,180103,53,U,Male,Yes,4,4,2,3,46,5,2,1
100551,180103,53,S,Male,Yes,3,1,1,2,97,7,1,9
100552,180103,53,U,Male,Yes,2,1,1,2,40,6,1,8
100554,180104,6,U,Female,Yes,4,1,1,3,59,8,1,8
100556,180104,6,S,Male,Yes,3,2,2,3,25,6,1,7
100557,180104,6,S,Female,Yes,3,1,1,1,47,5,2,5
100558,180107,48,U,Female,Yes,2,5,1,3,47,7,1,9
100559,180104,42,U,Female,No,1,3,4,NaN,74,2,3,2
100562,180104,44,S,Female,Yes,1,6,1,4,64,6,3,3
100565,180104,37,R,Male,Yes,4,1,1,NaN,31,7,1,9
100568,180104,36,S,Female,Yes,5,5,5,2,53,6,1,99
100569,180104,9,S,Male,Yes,3,1,1,3,62,4,1,9
100570,180104,37,U,Female,Yes,2,1,1,4,61,6,1,99
100571,180104,21,U,Female,Yes,4,1,1,2,41,6,2,5
100574,180104,24,S,Female,Yes,3,1,1,2,42,6,2,8
100575,180104,39,U,Female,Yes,1,1,1,2,38,2,4,1
100576,180104,45,R,Male,Yes,1,1,1,2,68,8,3,7
100577,180104,42,R,Female,Yes,2,1,1,2,57,7,2,99
100580,180104,51,S,Male,Yes,2,1,1,3,38,3,1,8
100582,180104,47,R,Male,Yes,1,2,1,NaN,67,7,3,7
100583,180104,39,U,Female,Yes,2,1,1,1,47,6,1,5
100584,180104,26,S,Male,Yes,6,2,6,3,28,3,1,6
100588,180104,13,S,Female,Yes,1,1,2,2,66,3,3,6
100590,180106,37, ,Female,Yes,1,1,1,1,26,6,1,1
100595,180104,42,S,Female,Yes,1,1,1,3,60,7,2,4
100596,180104,10,R,Male,No,2,2,4,NaN,77,3,3,2
100598,180104,12,S,Male,Yes,2,1,1,4,20,6,8,1
100599,180104,51, ,Male,Yes,2,1,4,2,37,2,1,3
100600,180107,12,S,Male,No,1,1,NaN,NaN,38,3,4,2
100602,180104,24,R,Male,No,4,4,4,NaN,56,4,3,99
100604,180107,37,S,Female,Yes,1,1,1,NaN,66,8,1,7
100605,180104,51,S,Female,Yes,4,1,1,3,36,8,1,8
100606,180104,13,S,Male,Yes,2,1,2,NaN,60,3,1,5
100607,180104,36,S,Male,Yes,4,4,4,4,20,6,4,9
100608,180104,36,U,Male,Yes,3,4,3,NaN,53,3,4,1
100609,180104,32,S,Male,Yes,3,1,1,3,46,4,1,6
100610,180104,36,U,Male,Yes,4,1,4,NaN,53,3,5,2
100611,180104,10,R,Male,Yes,1,2,2,NaN,74,8,1,7
100612,180104,6,R,Male,Yes,2,4,4,4,32,3,4,98
100613,180104,37,R,Male,Yes,2,1,1,NaN,74,7,5,8
100614,180104,25,S,Male,Yes,4,1,1,NaN,50,3,1,6
100615,180104,37,R,Male,Yes,1,1,6,NaN,51,3,5,1
100616,180104,39, ,Male,Yes,4,1,3,4,35,8,1,8
100619,180104,34,U,Male,Yes,1,1,1,3,31,5,1,6
100624,180104,42,U,Female,Yes,4,2,2,4,47,8,2,9
100625,180104,25,S,Female,Yes,2,1,1,3,44,6,1,9
100626,180104,12,S,Female,Yes,1,2,1,3,58,5,2,6
100630,180104,12,S,Female,Yes,1,1,1,2,62,3,3,2
100633,180104,36, ,Female,Yes,4,4,4,4,30,4,1,2
100635,180104,51,U,Male,Yes,2,1,1,2,65,6,3,99
100636,180104,36,U,Female,Yes,6,4,1,4,22,4,2,1
100637,180104,13, ,Female,Yes,3,2,4,4,18,6,1,99
100640,180104,45,U,Male,Yes,2,1,1,2,42,6,1,8
100642,180104,54, ,Male,No,1,5,NaN,1,65,6,1,99
100643,180104,9,S,Male,Yes,2,2,2,3,45,8,1,9
100644,180104,39,S,Male,Yes,1,1,1,1,24,6,2,99
100646,180104,37,U,Female,Yes,1,1,1,1,46,6,1,6
100648,180104,39,S,Male,Yes,4,4,4,4,46,8,1,9
100649,180104,12,S,Male,Yes,3,3,2,NaN,74,6,3,99
100651,180104,36,U,Male,Yes,1,1,1,2,74,7,2,9
100652,180104,18,R,Male,Yes,4,4,4,NaN,29,4,1,8
100654,180104,11,U,Male,Yes,1,1,3,3,51,3,1,3
100655,180104,36,U,Male,Yes,4,3,5,2,30,8,1,7
100656,180104,13,S,Male,Yes,1,2,2,3,35,6,1,9
100657,180104,12,U,Female,Yes,1,2,2,3,81,3,4,4
100659,180104,26,U,Female,Yes,1,1,1,3,37,4,1,3
100661,180104,51,R,Male,Yes,4,1,1,3,70,8,3,8
100663,180104,6,U,Female,Yes,4,1,1,3,40,6,2,9
100664,180104,39,S,Female,Yes,3,1,2,2,30,2,1,2
100665,180104,12,U,Male,Yes,3,1,1,1,23,5,1,5
100667,180104,39,S,Female,Yes,1,1,1,3,59,6,1,9
100674,180104,42,S,Male,Yes,2,2,4,NaN,66,3,3,7
100675,180104,13,R,Male,No,4,4,NaN,NaN,71,1,4,1
100677,180104,36,U,Female,Yes,4,1,4,4,49,2,4,1
100678,180104,13,R,Male,No,1,1,NaN,NaN,75,2,1,3
100681,180104,39, ,Male,Yes,4,2,4,NaN,55,4,4,99
100682,180104,21,S,Male,Yes,3,2,2,3,65,7,3,6
100683,180104,12,S,Male,Yes,6,1,1,3,29,8,1,3
100684,180104,36, ,Female,Yes,3,1,1,1,28,7,1,6
100687,180104,17,U,Male,Yes,3,2,1,3,30,6,1,3
100689,180104,42,R,Female,Yes,1,1,2,3,68,4,3,6
100690,180104,26,R,Female,Yes,4,2,3,3,62,4,5,4
100696,180104,36,S,Male,Yes,2,1,2,4,40,5,1,8
100697,180104,13,S,Female,Yes,4,2,1,4,24,6,1,4
100698,180106,13,S,Male,Yes,4,4,3,4,60,5,6,1
100699,180104,25,S,Female,Yes,4,1,1,1,68,8,3,7
100700,180104,24,S,Female,Yes,2,2,1,NaN,54,6,3,99
100701,180104,42,S,Female,Yes,3,1,1,3,27,5,1,7
100704,180104,39, ,Male,Yes,1,2,2,2,35,8,5,99
100705,180104,50,R,Male,Yes,4,4,2,NaN,38,3,1,8
100709,180104,36,S,Male,Yes,4,2,2,4,24,6,4,99
100711,180104,36,U,Male,Yes,3,2,1,2,32,6,1,99
100712,180104,13,R,Male,Yes,2,1,1,4,44,5,1,6
100713,180104,24,S,Male,Yes,1,5,1,1,65,5,1,9
100716,180105,41,R,Male,Yes,4,2,4,2,18,3,2,2
100717,180104,26,U,Male,Yes,3,2,3,4,49,5,4,2
100718,180104,36,U,Female,Yes,4,1,1,2,37,6,5,4
100719,180104,21,U,Male,Yes,1,2,1,NaN,41,6,1,8
100721,180104,15,R,Female,No,1,3,NaN,NaN,74,3,4,98
100722,180104,45,S,Male,Yes,2,3,2,4,34,4,4,2
100723,180104,47,U,Female,Yes,3,2,4,NaN,25,3,4,1
100724,180104,12,S,Female,Yes,3,2,3,3,54,3,1,2
100725,180104,12,U,Female,Yes,1,1,1,1,57,6,1,7
100726,180104,39,U,Female,Yes,2,2,2,3,41,4,1,4
100727,180104,42,R,Male,Yes,1,1,1,1,59,5,8,5
100729,180104,45,S,Male,Yes,2,3,4,NaN,71,6,3,8
100730,180104,51,U,Female,Yes,3,2,3,3,47,6,1,99
100733,180104,26,R,Female,Yes,4,4,4,4,62,6,1,6
100736,180104,42,U,Male,Yes,3,1,1,2,24,7,1,8
100737,180104,36,S,Male,Yes,2,4,4,NaN,59,3,3,8
100739,180104,42,S,Female,Yes,3,1,1,2,52,6,1,5
100740,180104,39,U,Male,Yes,4,3,2,NaN,21,3,2,9
100742,180104,37,U,Female,Yes,4,1,1,8,45,7,5,7
100747,180104,12, ,Female,No,4,4,NaN,NaN,75,6,3,98
100748,180104,13,S,Female,Yes,1,2,2,3,67,99,3,99
100751,180104,21,R,Female,Yes,4,2,3,4,66,2,3,1
100753,180104,34,S,Female,Yes,4,2,2,2,27,5,1,2
100754,180104,11,U,Female,Yes,3,1,1,4,73,3,2,99
100757,180104,48,S,Male,Yes,4,2,2,4,25,6,1,9
100758,180104,45,R,Male,Yes,2,3,2,4,65,8,3,6
100759,180104,36,S,Male,Yes,2,2,2,NaN,48,5,1,8
100760,180104,29,U,Female,Yes,1,1,1,1,31,6,1,8
100764,180104,36, ,Male,Yes,1,1,1,2,27,3,4,2
100765,180104,36,S,Male,Yes,2,1,1,3,46,6,1,9
100767,180104,44,U,Male,Yes,2,2,1,2,51,5,1,7
100769,180104,36,U,Female,Yes,1,5,5,4,53,3,1,4
100772,180104,13,S,Male,Yes,2,1,1,3,41,3,2,8
100773,180104,25,S,Male,Yes,2,3,1,2,24,3,2,3
100775,180104,36,U,Male,Yes,4,4,3,NaN,28,6,2,98
100776,180104,47,U,Female,Yes,2,1,1,1,41,3,1,5
100777,180104,36, ,Female,Yes,2,1,2,3,67,4,1,9
100778,180104,12,R,Male,No,2,3,NaN,NaN,58,3,1,6
100779,180104,54,U,Female,Yes,2,1,1,2,21,4,4,7
100780,180104,34,S,Male,Yes,1,1,1,3,21,4,2,8
100781,180104,34,U,Male,No,1,1,1,NaN,70,5,2,3
100782,180106,36,U,Female,No,2,2,1,2,68,4,3,3
100785,180104,51,S,Male,Yes,6,2,2,3,99,7,1,99
100786,180104,17,R,Male,No,1,3,NaN,NaN,82,5,3,4
100790,180104,19,S,Female,Yes,1,1,1,1,39,6,1,9
100791,180104,1,S,Female,Yes,4,1,1,2,73,4,3,2
100792,180104,31,U,Male,Yes,1,5,1,1,25,3,1,3
100795,180104,17, ,Female,No,2,4,NaN,NaN,29,5,6,2
100796,180104,19,U,Male,Yes,2,1,2,NaN,51,7,1,9
100799,180104,29,S,Male,Yes,4,1,4,4,23,6,1,3
100802,180104,17,R,Male,Yes,2,1,1,4,64,8,1,6
100805,180104,12,S,Female,Yes,1,1,3,3,26,3,2,5
100807,180104,20,S,Male,No,1,3,NaN,NaN,87,3,3,3
100811,180104,5,U,Male,Yes,3,1,1,2,29,6,1,8
100812,180104,48,R,Male,Yes,3,1,1,3,43,6,1,9
100813,180104,29,R,Male,Yes,3,3,2,2,63,4,6,2
100815,180104,29,R,Male,Yes,2,1,1,4,43,6,1,8
100816,180104,12,S,Male,No,1,2,NaN,NaN,61,3,3,99
100817,180104,17, ,Male,Yes,2,1,1,4,36,6,1,99
100818,180104,9,S,Female,Yes,3,1,2,3,46,3,1,5
100820,180104,38,R,Female,Yes,1,2,1,3,38,6,1,8
100821,180104,17,S,Male,Yes,2,1,1,3,57,4,1,7
100822,180104,19,U,Male,Yes,3,3,3,3,26,3,1,4
100823,180104,47,U,Male,Yes,1,3,1,2,20,4,2,6
100825,180104,19,S,Male,Yes,3,1,1,3,32,6,1,4
100826,180104,48,U,Female,Yes,4,1,1,1,18,4,2,2
100828,180104,47,R,Male,Yes,1,1,1,1,21,3,2,7
100831,180107,48,U,Female,Yes,1,1,1,1,56,3,3,2
100832,180104,37, ,Female,Yes,1,1,1,NaN,23,2,1,3
100833,180104,17,S,Female,Yes,1,1,1,3,56,8,1,8
100834,180104,19,U,Female,Yes,1,1,1,2,58,6,4,7
100835,180104,17,U,Female,Yes,4,1,4,4,18,2,1,98
100840,180104,48,R,Male,Yes,2,2,2,NaN,85,8,3,98
100842,180104,13,S,Male,No,6,1,NaN,NaN,48,6,6,98
100843,180104,53,S,Female,Yes,2,1,1,1,47,8,1,9
100845,180104,17,S,Male,Yes,4,2,4,3,18,2,4,98
100846,180104,12,S,Male,Yes,4,2,3,4,45,8,2,98
100849,180104,53,U,Male,Yes,4,1,1,4,20,3,2,6
100850,180104,1,S,Female,Yes,4,1,1,4,49,8,1,7
100851,180104,17, ,Female,Yes,4,2,4,4,25,3,6,1
100852,180105,51,S,Male,Yes,2,1,2,4,19,3,1,3
100853,180104,34, ,Male,Yes,4,1,2,2,30,1,2,2
100856,180104,12, ,Female,No,1,2,NaN,NaN,71,98,4,1
100859,180104,48,U,Female,No,4,1,2,3,63,2,2,98
100862,180104,5,R,Female,Yes,1,2,1,1,23,4,5,2
100863,180104,48,R,Female,No,3,1,NaN,NaN,70,1,4,1
100865,180104,55,U,Female,Yes,3,1,1,4,55,6,1,7
100867,180104,48,U,Female,Yes,3,2,3,NaN,43,2,1,1
100868,180104,28,S,Male,Yes,4,2,1,3,20,4,4,9
100869,180104,28,R,Male,No,1,1,NaN,NaN,50,4,1,1
100870,180104,48,R,Male,Yes,4,4,4,4,18,4,4,3
100871,180104,48,U,Female,No,1,1,NaN,NaN,71,1,4,3
100872,180104,48,U,Male,Yes,2,1,1,3,33,5,1,6
100874,180106,48,S,Male,No,1,1,NaN,NaN,64,98,6,3
100876,180104,48,U,Male,Yes,2,2,2,3,73,7,3,2
100878,180104,17, ,Male,DK,1,2,NaN,NaN,61,1,2,98
100879,180104,48,U,Male,Yes,4,3,3,3,51,3,5,1
100880,180104,13,R,Female,Yes,1,1,1,2,51,6,2,9
100881,180104,48,S,Male,Yes,2,4,4,4,33,3,4,1
100883,180104,48,U,Female,No,1,1,NaN,2,68,1,1,2
100884,180104,48,S,Male,Yes,4,3,3,4,27,6,1,1
100886,180104,48,R,Female,Yes,4,1,1,2,80,6,3,7
100887,180104,17,U,Female,Yes,1,1,1,2,50,7,1,8
100888,180104,2,U,Male,Yes,6,2,3,NaN,30,6,1,99
100889,180104,48,S,Male,Yes,2,2,2,4,34,3,1,5
100892,180104,48,U,Male,Yes,4,4,4,4,60,2,2,98
100893,180104,40,R,Male,Yes,3,1,1,NaN,60,2,1,4
100894,180104,17,U,Male,Yes,2,2,1,3,32,3,1,3
100898,180104,55,R,Male,Yes,1,1,1,NaN,44,5,1,99
100899,180109,48,S,Male,Yes,4,2,4,4,99,7,1,99
100900,180104,29,S,Female,Yes,2,1,2,2,30,8,1,5
100901,180104,15,R,Male,Yes,4,1,1,4,53,7,5,9
100902,180104,4,U,Female,Yes,2,1,1,1,21,4,1,7
100903,180104,17,U,Female,Yes,1,1,1,NaN,99,5,5,6
100905,180104,49,U,Male,Yes,3,3,2,4,19,4,2,7
100907,180104,49,S,Female,Yes,2,1,1,3,62,4,3,2
100908,180104,8,S,Male,Yes,4,2,1,NaN,20,2,4,6
100909,180104,35,U,Male,No,1,1,NaN,NaN,81,2,3,1
100911,180104,4,R,Female,Yes,2,1,2,2,43,3,1,3
100912,180104,49,S,Male,Yes,3,2,2,NaN,37,6,1,6
100913,180104,46, ,Male,Yes,1,1,2,3,23,3,1,2
100915,180104,30, ,Male,Yes,6,2,2,3,62,5,3,2
100916,180104,49, ,Male,Yes,4,2,1,2,65,6,1,7
100918,180104,8,S,Female,Yes,1,1,1,2,60,6,1,99
100919,180104,35,S,Male,Yes,1,2,1,1,74,6,3,4
100920,180104,8,S,Male,Yes,2,1,1,NaN,37,7,1,7
100923,180104,49,U,Male,Yes,4,2,1,3,25,6,1,4
100924,180105,35,R,Male,Yes,4,2,3,3,45,3,1,3
100926,180104,4,U,Female,Yes,2,1,3,4,36,1,2,1
100927,180104,48,U,Male,No,1,1,NaN,NaN,81,1,2,2
100929,180104,4,U,Female,Yes,4,1,1,3,66,6,1,99
100931,180104,4,S,Male,Yes,3,1,1,3,33,6,1,9
100932,180104,53,U,Male,Yes,1,1,1,1,52,6,1,9
100933,180104,32,S,Male,Yes,1,3,1,2,37,7,1,6
100934,180104,48, ,Female,Yes,1,3,2,4,85,3,3,99
100935,180104,8,U,Male,Yes,1,1,1,NaN,55,6,1,99
100936,180104,4,S,Female,Yes,3,3,3,3,19,3,4,3
100937,180104,6,U,Female,Yes,4,4,4,4,29,4,2,2
100939,180104,6,S,Male,Yes,4,4,1,4,31,5,2,1
100941,180104,16,R,Female,Yes,2,3,2,4,60,6,4,8
100944,180104,8,R,Male,Yes,4,4,4,NaN,56,7,1,4
100946,180104,41,U,Male,Yes,6,3,2,3,35,5,1,8
100948,180104,6,U,Female,Yes,4,1,1,4,25,6,1,9
100950,180104,6,S,Female,Yes,1,1,4,2,60,4,3,6
100951,180104,2,S,Male,Yes,4,4,4,NaN,63,3,5,9
100952,180104,36,U,Male,Yes,3,1,1,1,18,3,4,98
100953,180104,6,U,Male,Yes,4,1,1,2,38,5,2,4
100955,180104,32,U,Female,Yes,3,1,1,3,41,4,1,8
100956,180104,53,U,Male,Yes,4,2,1,3,20,4,2,1
100957,180104,6,U,Female,No,1,5,5,NaN,50,5,1,1
100958,180104,6,U,Female,Yes,1,1,1,3,60,4,3,4
100959,180104,6,U,Female,Yes,4,2,2,2,42,4,1,4
100960,180104,6,U,Male,Yes,1,1,1,NaN,44,7,1,9
100961,180104,41,U,Female,Yes,3,1,1,3,51,8,2,9
100962,180104,6,S,Female,Yes,3,2,1,2,19,3,2,3
100964,180104,6,U,Female,Yes,4,4,1,NaN,22,4,4,1
100965,180104,6,U,Male,Yes,1,1,1,3,34,5,2,3
100967,180104,6,U,Male,Yes,4,3,3,2,20,5,1,8
100968,180104,41, ,Male,Yes,3,1,1,1,20,4,1,6
100969,180104,41,S,Male,Yes,2,2,1,3,30,1,1,6
100970,180104,6, ,Female,Yes,4,3,2,4,25,6,1,98
100972,180104,48,S,Male,Yes,1,2,1,3,38,7,1,9
100973,180104,6, ,Male,Yes,4,2,1,3,24,6,1,6
100974,180104,6,S,Male,Yes,1,3,1,2,74,7,2,4
100975,180104,6,U,Female,No,3,3,NaN,4,54,2,6,2
100976,180104,6,U,Female,Yes,4,3,4,NaN,62,1,2,2
100978,180104,41, ,Female,Yes,2,1,3,4,70,6,3,4
100979,180104,6,S,Male,Yes,3,1,2,NaN,55,2,2,1
100980,180104,41,U,Male,Yes,3,1,1,1,46,6,1,8
100981,180104,6, ,Male,No,3,1,NaN,NaN,57,1,4,1
100982,180104,6,U,Female,Yes,4,2,2,2,20,5,1,1
100983,180104,53,U,Male,Yes,4,2,2,2,40,3,1,4
100984,180104,6,U,Female,Yes,4,2,2,2,30,7,4,99
100985,180104,2,U,Male,Yes,4,5,4,NaN,21,3,4,1
100986,180104,41,S,Male,Yes,3,1,1,2,99,3,1,99
100987,180104,53,S,Female,Yes,4,2,1,3,36,6,2,8
100988,180104,41,S,Female,Yes,6,3,3,NaN,70,3,5,1
100989,180104,6,U,Female,Yes,2,1,1,2,46,8,1,9
100991,180105,45,S,Male,Yes,4,1,1,1,33,4,1,8
100993,180105,45,S,Male,Yes,2,1,1,1,20,4,2,6
100995,180105,39, ,Male,Yes,2,1,1,3,99,5,99,99
100996,180105,8,U,Female,Yes,1,1,1,NaN,64,6,3,7
100997,180105,37,U,Female,No,2,3,NaN,NaN,89,3,3,2
100998,180105,47,R,Male,Yes,1,1,3,NaN,66,6,3,8
100999,180105,36,U,Male,Yes,1,1,1,NaN,50,8,5,1
101001,180106,45,R,Female,Yes,1,1,2,4,64,5,1,5
101002,180105,24,S,Male,No,2,4,4,NaN,63,5,1,99
101003,180105,48,U,Female,Yes,1,1,1,1,39,8,1,9
101005,180105,24,U,Male,Yes,1,2,1,4,45,8,1,7
101006,180105,54,U,Female,Yes,2,3,3,NaN,60,4,1,7
101007,180105,42,S,Male,Yes,1,1,2,NaN,60,6,1,6
101008,180105,50,S,Male,Yes,4,8,1,NaN,75,8,3,9
101012,180105,12,S,Female,Yes,2,2,2,2,44,4,4,1
101013,180105,48,U,Female,Yes,3,3,2,3,33,4,4,1
101015,180105,24,S,Female,Yes,1,2,2,NaN,43,4,4,7
101016,180105,36, ,Male,Yes,2,1,1,NaN,46,3,1,99
101017,180105,12,S,Female,Yes,3,1,1,NaN,54,4,1,6
101018,180105,37,U,Female,Yes,2,5,1,2,64,6,2,7
101021,180105,45,S,Male,Yes,3,1,1,3,21,3,4,7
101022,180105,13,S,Male,Yes,2,1,1,4,60,2,2,3
101023,180105,6,S,Male,Yes,2,1,4,4,46,5,1,6
101029,180105,39,R,Male,Yes,4,4,4,4,27,4,4,2
101031,180105,24,U,Male,Yes,2,2,2,NaN,55,3,1,6
101032,180105,12, ,Male,Yes,3,2,2,3,44,7,5,99
101035,180105,45,S,Female,Yes,1,1,1,2,72,3,3,7
101036,180105,39,S,Male,Yes,2,2,4,3,56,3,1,2
101037,180105,42,S,Female,Yes,3,1,1,3,53,8,1,9
101038,180105,33,S,Male,Yes,1,2,4,NaN,59,6,1,6
101039,180105,13,S,Male,Yes,1,1,1,4,43,6,1,5
101040,180105,39,U,Male,Yes,1,1,2,2,49,5,2,2
101041,180105,42,S,Female,Yes,6,1,1,1,29,8,1,6
101042,180105,25,S,Female,Yes,1,1,1,1,70,8,1,7
101046,180105,21,S,Female,Yes,1,1,1,1,48,4,6,1
101048,180105,23,S,Male,Yes,3,1,1,2,71,5,3,99
101049,180105,13,U,Male,Yes,3,2,2,3,66,4,3,2
101050,180105,12,U,Female,Yes,1,1,2,2,35,3,4,5
101051,180107,13,S,Female,Yes,2,2,3,4,29,3,2,3
101053,180105,39,S,Male,Yes,1,1,1,NaN,51,6,5,8
101054,180105,36,U,Female,Yes,2,1,1,2,74,7,2,8
101055,180105,36,U,Male,Yes,1,1,1,2,36,6,1,6
101057,180105,34,S,Male,Yes,2,1,1,4,63,6,1,9
101058,180105,18,U,Male,Yes,2,2,2,3,48,8,6,3
101059,180105,54,R,Male,Yes,1,1,1,4,69,4,3,7
101060,180107,37,S,Male,Yes,1,1,1,4,50,6,1,6
101061,180105,45,S,Male,No,2,4,NaN,NaN,76,3,3,98
101064,180105,6,S,Male,Yes,1,1,1,4,43,8,4,9
101065,180105,36,S,Female,Yes,3,2,2,3,19,4,2,98
101066,180105,42,U,Female,No,1,1,NaN,NaN,56,3,1,5
101068,180106,21,U,Female,Yes,1,1,1,1,53,3,6,98
101069,180105,13,R,Female,Yes,3,1,1,NaN,68,3,3,3
101070,180105,51,S,Female,Yes,1,2,1,2,39,8,1,8
101073,180105,42,S,Male,Yes,2,1,2,4,66,5,3,98
101076,180105,25,U,Male,Yes,4,3,2,4,19,3,1,8
101079,180105,20,S,Male,Yes,2,1,2,4,44,8,1,7
101081,180105,39,U,Male,Yes,1,1,1,1,58,2,4,3
101084,180105,47,S,Female,Yes,2,1,2,2,32,3,2,1
101085,180105,36,R,Female,Yes,3,1,1,2,35,4,1,2
101087,180108,13,U,Female,No,1,4,NaN,NaN,58,2,6,98
101088,180105,42,S,Male,Yes,3,1,1,2,23,3,1,98
101091,180105,13,U,Male,No,2,4,4,NaN,40,1,1,3
101092,180105,23,S,Female,Yes,2,1,1,1,39,6,1,6
101093,180105,12,S,Male,No,2,1,NaN,4,38,1,1,2
101094,180105,34,S,Male,Yes,1,1,2,3,74,4,3,7
101095,180105,42,U,Female,Yes,4,1,4,NaN,86,8,3,5
101096,180105,37,U,Male,Yes,1,1,1,4,59,4,1,99
101098,180105,12,S,Female,Yes,2,3,2,4,30,6,2,2
101099,180105,18,U,Male,Yes,1,1,1,3,29,6,1,3
101101,180105,8,U,Female,Yes,2,1,1,2,34,8,1,7
101103,180105,12,U,Female,Yes,6,1,1,1,27,8,2,4
101105,180105,39,U,Male,Yes,2,4,1,4,45,6,2,1
101106,180105,37,U,Male,Yes,1,1,1,2,55,7,1,6
101107,180105,39,U,Female,Yes,1,1,3,3,62,4,6,3
101111,180108,12,U,Male,Yes,3,4,3,NaN,99,5,1,4
101113,180105,13,S,Male,No,4,1,NaN,NaN,64,2,4,1
101114,180105,51,S,Male,Yes,1,1,1,1,47,2,4,3
101116,180105,36,U,Male,Yes,4,5,5,3,18,4,4,3
101117,180105,36,S,Male,Yes,4,4,4,4,36,5,1,4
101118,180105,24,S,Male,Yes,3,4,3,NaN,59,6,1,9
101119,180105,13,U,Female,Yes,1,1,1,4,66,6,1,5
101120,180105,26,R,Female,Yes,4,1,3,4,62,7,4,1
101122,180108,25,U,Male,Yes,3,1,1,1,30,5,4,3
101123,180105,36,R,Female,Yes,1,1,1,NaN,65,6,3,9
101125,180105,36,S,Male,Yes,1,1,4,NaN,62,5,3,99
101126,180105,12, ,Female,Yes,1,2,3,3,50,6,3,5
101127,180105,12,S,Female,No,1,1,NaN,NaN,60,3,3,4
101128,180105,36,R,Male,Yes,2,1,2,3,57,6,1,8
101129,180107,13,S,Female,No,2,4,1,NaN,67,3,3,98
101130,180105,6,S,Male,Yes,2,1,1,NaN,31,8,2,3
101131,180105,26, ,Female,Yes,1,1,1,4,42,6,1,8
101132,180105,12,S,Female,Yes,1,1,1,4,36,8,1,9
101133,180105,42,S,Male,Yes,1,1,1,2,52,6,1,9
101138,180105,36,S,Female,Yes,5,1,2,4,49,3,2,6
101139,180105,26,S,Male,Yes,2,1,1,NaN,64,4,2,6
101143,180105,24,S,Male,Yes,1,1,1,1,48,1,1,3
101145,180105,12,S,Female,Yes,1,1,4,3,62,3,1,3
101147,180105,24,S,Male,No,1,3,NaN,NaN,50,1,1,2
101148,180105,12,S,Male,Yes,4,3,2,NaN,21,5,4,2
101150,180105,11,U,Male,Yes,2,1,1,2,34,7,1,9
101154,180105,36,S,Male,Yes,3,5,5,3,29,5,2,2
101156,180105,12, ,Male,Yes,2,4,4,4,50,6,1,99
101157,180105,42,S,Male,Yes,1,1,1,2,46,5,1,7
101158,180105,12,S,Female,Yes,2,3,3,NaN,63,6,5,5
101159,180105,51,S,Female,Yes,3,1,1,NaN,59,7,3,99
101160,180105,12,S,Female,Yes,1,1,1,3,58,5,4,7
101161,180105,34,S,Female,Yes,1,1,1,3,57,6,1,8
101162,180105,45,S,Male,Yes,4,4,2,NaN,69,3,3,3
101163,180105,33,S,Female,No,1,1,NaN,NaN,69,4,1,3
101164,180105,48,R,Male,Yes,4,1,1,4,42,6,1,99
101166,180105,26,U,Female,Yes,2,1,1,1,22,4,7,9
101167,180105,25,S,Male,Yes,2,1,1,2,23,6,2,2
101168,180105,13, ,Female,Yes,3,2,2,3,52,6,1,9
101169,180105,48,U,Female,Yes,3,1,3,NaN,49,3,1,3
101170,180105,17,U,Male,Yes,1,1,1,4,74,6,3,6
101171,180108,48,U,Female,Yes,1,1,1,1,27,3,2,3
101172,180105,18,U,Male,Yes,2,2,2,NaN,55,4,6,3
101174,180105,12, ,Female,Yes,4,3,4,NaN,51,4,1,2
101175,180105,48,U,Female,Yes,4,2,4,4,26,4,4,98
101176,180105,48, ,Female,No,3,4,4,NaN,44,1,1,99
101177,180105,29,U,Female,Yes,1,1,1,1,54,6,1,8
101178,180105,55,S,Female,Yes,1,1,1,3,62,6,1,6
101179,180105,17,S,Female,Yes,4,3,3,3,32,3,4,3
101181,180105,36,S,Male,No,3,4,3,NaN,20,3,4,98
